1st,2nd,3rd,4th,5th,College Code,Gender,Roll no.,Subject Code,CGPA,Improvement,Academic_Status
6.16,6.66,6.63,6.71,6.96,165,M,17065,16,6.62,0.8,Consistent / Average
,,6.96,,,165,M,17066,16,6.96,,Missing Exams / Incomplete
6.19,6.21,5.7,5.46,6.93,116,M,17017,16,6.1,0.74,Consistent / Average
6.22,6.28,6.11,6.11,6.54,116,F,17018,16,6.25,0.32,Consistent / Average
5.85,5.66,4.59,5.86,6.0,116,M,17019,16,5.59,0.15,Academic Probation
7.37,7.24,6.48,7.18,7.82,116,M,17020,16,7.22,0.45,Consistent / Average
8.63,8.38,8.17,8.73,8.73,116,M,17021,16,8.53,0.1,High Achiever
6.96,6.69,6.59,6.36,6.79,116,M,17022,16,6.68,-0.17,Consistent / Average
5.78,5.79,5.22,5.36,6.61,116,M,17023,16,5.75,0.83,Academic Probation
5.93,5.86,4.7,5.5,6.21,116,M,17024,16,5.64,0.28,Academic Probation
6.59,5.48,4.22,4.75,4.96,116,M,17025,16,5.2,-1.63,Critical Drop
6.85,7.41,7.41,7.86,8.14,116,M,17026,16,7.53,1.29,Consistent / Average
6.37,6.59,6.07,5.82,5.86,116,F,17027,16,6.14,-0.51,Consistent / Average
7.19,6.9,6.52,8.36,7.89,116,F,17028,16,7.37,0.7,Consistent / Average
6.37,6.9,4.33,6.96,6.75,116,M,17029,16,6.26,0.38,Consistent / Average
7.67,8.21,6.19,8.29,8.54,116,M,17030,16,7.78,0.87,Consistent / Average
6.48,6.55,5.22,5.61,6.18,116,M,17031,16,6.01,-0.3,Consistent / Average
8.7,7.83,7.56,8.11,8.07,116,M,17032,16,8.05,-0.63,High Achiever
6.81,7.07,5.7,6.29,8.07,116,M,17033,16,6.79,1.26,Consistent / Average
6.37,5.59,6.33,7.07,7.81,116,F,17034,16,6.63,1.44,Consistent / Average
6.11,6.55,5.56,6.86,7.0,116,M,17035,16,6.42,0.89,Consistent / Average
7.89,8.72,8.19,8.54,9.11,116,M,17036,16,8.49,1.22,High Achiever
7.89,7.97,6.81,8.54,8.0,116,M,17037,16,7.84,0.11,Consistent / Average
7.37,5.86,7.0,7.82,8.21,116,F,17038,16,7.25,0.84,Consistent / Average
7.48,7.69,7.11,7.93,8.21,116,F,17039,16,7.68,0.73,Consistent / Average
9.15,8.86,8.34,9.04,9.19,116,M,17040,16,8.92,0.04,High Achiever
7.19,7.45,6.63,7.04,7.79,116,M,17041,16,7.22,0.6,Consistent / Average
6.85,7.41,6.33,6.39,,116,M,17042,16,6.74,,Missing Exams / Incomplete
6.44,6.14,6.19,6.82,7.43,116,M,17043,16,6.6,0.99,Consistent / Average
6.56,6.14,6.33,6.75,7.14,116,M,17044,16,6.58,0.58,Consistent / Average
8.0,7.9,7.33,7.47,8.07,116,M,17045,16,7.75,0.07,Consistent / Average
7.15,6.34,6.56,6.68,6.54,116,M,17046,16,6.65,-0.61,Consistent / Average
7.3,7.07,6.67,6.0,6.11,116,M,17047,16,6.63,-1.19,Critical Drop
8.44,7.28,7.96,8.0,8.29,116,F,17048,16,7.99,-0.15,Consistent / Average
6.0,5.93,3.96,5.43,6.25,116,M,17049,16,5.51,0.25,Academic Probation
5.78,6.28,4.3,6.43,6.75,116,M,17050,16,5.91,0.97,Academic Probation
6.37,5.9,5.81,6.04,6.64,116,M,17051,16,6.15,0.27,Consistent / Average
6.19,6.62,6.3,6.54,7.43,116,M,17052,16,6.62,1.24,Consistent / Average
6.74,6.72,7.04,7.93,8.32,116,M,17053,16,7.35,1.58,Consistent / Average
5.52,5.72,6.07,7.11,7.79,116,M,17054,16,6.44,2.27,Consistent / Average
6.3,6.48,5.63,6.21,6.39,116,M,17055,16,6.2,0.09,Consistent / Average
6.89,6.69,5.67,6.07,7.39,116,M,17056,16,6.54,0.5,Consistent / Average
7.0,7.41,6.37,6.57,7.79,116,M,17057,16,7.03,0.79,Consistent / Average
6.07,6.07,5.89,6.54,7.81,116,M,17058,16,6.48,1.74,Consistent / Average
7.11,7.34,6.85,7.96,8.14,116,M,17059,16,7.48,1.03,Consistent / Average
9.15,9.21,9.59,9.31,9.46,116,F,17060,16,9.34,0.31,High Achiever
7.78,6.86,7.26,7.82,8.36,116,M,17061,16,7.62,0.58,Consistent / Average
7.59,7.76,7.0,8.32,8.21,116,F,17062,16,7.78,0.62,Consistent / Average
7.11,7.41,7.0,7.32,8.32,116,M,17063,16,7.43,1.21,Consistent / Average
6.26,6.0,6.07,5.36,6.21,116,M,17064,16,5.98,-0.05,Academic Probation
8.3,7.97,8.33,8.29,8.61,116,M,17065,16,8.3,0.31,High Achiever
6.96,5.72,6.33,7.18,,116,M,17066,16,6.55,,Missing Exams / Incomplete
6.96,6.24,6.85,7.21,7.71,116,M,17067,16,6.99,0.75,Consistent / Average
8.22,8.76,7.74,8.46,8.38,241,F,17018,28,8.31,0.16,High Achiever
7.15,6.79,6.75,6.78,6.62,241,M,17019,28,6.82,-0.53,Consistent / Average
7.07,7.66,7.22,7.86,7.31,241,F,17020,28,7.42,0.24,Consistent / Average
7.52,7.82,7.67,8.21,8.38,241,M,17021,28,7.92,0.86,Consistent / Average
6.33,6.76,5.7,5.18,5.31,241,M,17022,28,5.86,-1.02,Critical Drop
7.33,6.62,6.26,6.33,6.81,241,M,17023,28,6.67,-0.52,Consistent / Average
7.89,7.97,7.59,8.25,9.35,241,M,17024,28,8.21,1.46,High Achiever
6.44,6.43,6.52,7.04,6.62,241,M,17025,28,6.61,0.18,Consistent / Average
6.96,6.41,6.33,5.57,5.35,241,M,17026,28,6.12,-1.61,Critical Drop
7.0,6.34,6.07,6.14,7.0,241,F,17027,28,6.51,0.0,Consistent / Average
6.26,5.55,6.15,5.04,5.08,241,M,17028,28,5.62,-1.18,Critical Drop
7.22,6.76,7.48,7.93,7.77,241,M,17029,28,7.43,0.55,Consistent / Average
6.41,6.48,6.41,6.68,7.08,241,M,17030,28,6.61,0.67,Consistent / Average
5.96,6.1,6.07,5.36,5.12,241,M,17031,28,5.72,-0.84,Academic Probation
7.19,7.97,7.3,8.04,8.15,241,M,17032,28,7.73,0.96,Consistent / Average
7.14,7.79,6.93,7.64,8.65,241,M,17033,28,7.63,1.51,Consistent / Average
7.19,7.1,6.7,7.36,7.38,241,M,17034,28,7.15,0.19,Consistent / Average
6.85,6.41,6.19,6.68,6.96,241,M,17035,28,6.62,0.11,Consistent / Average
8.0,8.07,7.96,8.46,8.62,241,M,17036,28,8.22,0.62,High Achiever
7.59,7.48,7.41,7.18,7.92,241,M,17037,28,7.52,0.33,Consistent / Average
6.7,7.34,7.11,7.32,7.35,241,M,17038,28,7.16,0.65,Consistent / Average
7.59,7.31,7.11,7.68,7.65,241,M,17039,28,7.47,0.06,Consistent / Average
7.07,6.38,5.3,5.43,4.77,241,M,17040,28,5.79,-2.3,Critical Drop
6.44,6.48,6.78,6.29,5.81,241,M,17041,28,6.36,-0.63,Consistent / Average
7.19,7.0,6.74,7.04,7.04,241,M,17042,28,7.0,-0.15,Consistent / Average
6.81,6.38,5.19,5.46,,241,M,17043,28,5.96,,Missing Exams / Incomplete
6.63,7.03,7.0,6.75,7.38,241,M,17044,28,6.96,0.75,Consistent / Average
7.33,7.34,7.22,7.25,7.08,241,M,17045,28,7.24,-0.25,Consistent / Average
7.15,7.79,7.41,,7.5,241,M,17046,28,7.46,0.35,Missing Exams / Incomplete
7.0,7.41,7.15,7.04,7.81,241,M,17047,28,7.28,0.81,Consistent / Average
7.48,7.55,7.67,7.39,8.65,241,F,17048,28,7.75,1.17,Consistent / Average
7.3,6.41,6.59,7.11,7.38,241,M,17049,28,6.96,0.08,Consistent / Average
6.3,6.28,5.89,5.71,6.5,241,M,17050,28,6.14,0.2,Consistent / Average
7.04,7.1,6.81,7.0,6.92,241,M,17051,28,6.97,-0.12,Consistent / Average
6.7,6.81,6.52,5.39,7.0,241,M,17052,28,6.48,0.3,Consistent / Average
